,index,name,MaxDistance,NumberNodes,scenario,maxInterfDist,repetition,Type,NodeID,TR,recAddress,x,y,MsgId,CH,MsgTime,Distance
0,0,"Tokio,300-,0",,19,Tokio,300,0,node,141,rx,-1,1596.0,558.415,60867,176,65.5881,
1,16,"Tokio,300-,0",,19,Tokio,300,0,node,129,rx,-1,1770.08,409.972,60867,176,69.8543,
2,15,"Tokio,300-,0",,19,Tokio,300,0,node,21,rx,-1,1789.71,327.751,60867,176,67.7856,
3,14,"Tokio,300-,0",,19,Tokio,300,0,node,57,rx,-1,1541.95,319.509,60867,176,67.7856,
4,13,"Tokio,300-,0",,19,Tokio,300,0,node,105,rx,-1,1611.03,57.3275,60867,176,67.6974,
5,12,"Tokio,300-,0",,19,Tokio,300,0,node,123,rx,-1,1604.14,224.927,60867,176,67.6547,
6,11,"Tokio,300-,0",,19,Tokio,300,0,node,39,rx,-1,1603.54,260.35400000000004,60867,176,67.6547,
7,10,"Tokio,300-,0",,19,Tokio,300,0,node,51,rx,-1,1500.24,277.284,60867,176,67.6545,
8,17,"Tokio,300-,0",,19,Tokio,300,0,node,75,rx,-1,1769.86,454.204,60867,176,69.8543,
9,9,"Tokio,300-,0",,19,Tokio,300,0,node,201,rx,-1,1528.07,403.98800000000006,60867,176,67.6544,
10,7,"Tokio,300-,0",,19,Tokio,300,0,node,87,rx,-1,1619.17,319.1020000000001,60867,176,65.5881,
11,6,"Tokio,300-,0",,19,Tokio,300,0,node,165,rx,-1,1605.46,330.398,60867,176,65.5881,
12,5,"Tokio,300-,0",,19,Tokio,300,0,node,135,rx,-1,1612.3,371.526,60867,176,65.5881,
13,4,"Tokio,300-,0",,19,Tokio,300,0,node,159,rx,-1,1612.48,395.32,60867,176,65.5881,
14,3,"Tokio,300-,0",,19,Tokio,300,0,node,183,rx,-1,1628.31,402.221,60867,176,65.5881,
15,2,"Tokio,300-,0",,19,Tokio,300,0,node,117,rx,-1,1603.32,653.556,60867,176,65.5881,
16,1,"Tokio,300-,0",,19,Tokio,300,0,node,195,rx,-1,1503.8,558.766,60867,176,65.5881,
17,8,"Tokio,300-,0",,19,Tokio,300,0,node,45,rx,-1,1609.38,273.92,60867,176,65.5881,
18,18,"Tokio,300-,0",,19,Tokio,300,0,node,153,rx,-1,1769.73,479.874,60867,176,69.8543,
